2016-02-18 | SUM | 6445309.71942
2016-02-02 | SUM | 2260387.38461
2016-02-01 | VL rendszeres | 117273.699558
2016-02-18 | VL eseti | 929480.278094
2016-02-19 | VL eseti | 940484.8460140001
2016-02-20 | VL eseti | 940062.6347090001
2016-02-05 | SUM | 2189536.4710600004
2016-02-16 | VL eseti | 919267.583268
2016-02-10 | VL rendszeres | 3373326.143956
2016-02-23 | VL rendszeres | 3436602.0778900003
2016-02-15 | VL eseti | 913002.1704229999
2016-02-08 | SUM | 2167897.5386499995
2016-02-11 | VL eseti | 923319.605156
2016-02-10 | VL eseti | 1124792.489688
2016-02-20 | ML HUF | 2165481.81022
2016-02-17 | SUM | 6424889.607299001
2016-02-20 | SUM | 6540035.393061001
2016-02-15 | ML HUF | 2066851.7936000002
2016-02-23 | ML HUF | 2164361.42883
2016-02-10 | ML HUF | 2108477.99241
2016-02-01 | VL eseti | 4330193.156555
2016-02-16 | SUM | 6330042.906718
2016-02-05 | ML HUF | 2189536.4710600004
2016-02-02 | ML HUF | 2260387.38461
2016-02-12 | VL eseti | 923218.665616
2016-02-16 | ML HUF | 2062684.51406
2016-02-12 | ML HUF | 2114475.95915
2016-02-17 | VL eseti | 926822.2183129999
2016-02-03 | ML HUF | 2233315.26749
2016-02-03 | SUM | 2233315.26749
2016-02-23 | SUM | 6543358.919252001
2016-02-19 | ML HUF | 2160554.0415499997
2016-02-12 | SUM | 6406548.090814
2016-02-08 | ML HUF | 2167897.5386499995
2016-02-11 | ML HUF | 2090252.2955
2016-02-19 | VL rendszeres | 3439663.568566
2016-02-16 | VL rendszeres | 3348090.80939
2016-02-01 | SUM | 6704812.537002998
2016-02-04 | ML HUF | 2221200.0580700003
2016-02-04 | SUM | 2221200.0580700003
2016-02-12 | VL rendszeres | 3368853.466048
2016-02-17 | VL rendszeres | 3388200.521276
2016-02-01 | ML HUF | 2257345.6808900004
2016-02-19 | SUM | 6540702.45613
2016-02-11 | SUM | 6386898.044612
2016-02-18 | VL rendszeres | 3396036.072246
2016-02-15 | SUM | 6298116.572823
2016-02-15 | VL rendszeres | 3318262.6087999996
2016-02-23 | VL eseti | 942395.4125320001
2016-02-20 | VL rendszeres | 3434490.9481320004
2016-02-17 | ML HUF | 2109866.8677100004
2016-02-11 | VL rendszeres | 3373326.143956
2016-02-18 | ML HUF | 2119793.36908
2016-02-10 | SUM | 6606596.626054
